1990	35097
1991	33536
1992	34456
1993	36001
1994	37904
1995	38508
1996	41572
1997	41735
1998	41871
1999	42637
2000	42148
2001	43526
2002	42593
2003	43979
2004	44308
2005	43342
2006	43927
2007	45666
2008	44795
2009	43225
2010	45691
2011	44791
2012	44301
2013	44587
2014	45046
2015	45590
2016	44764
2017	44243
2018	44392
2019	42785
2020	41197
2021	41003
